sl.no,payload_length,Cumulative_RTT 
0,100,284 
1,200,226 
2,300,246 
3,400,142 
4,500,227 
5,600,148 
6,700,202 
7,800,137 
8,900,244 
9,1000,142 
10,100,135 
11,200,130 
12,300,131 
13,400,155 
14,500,135 
15,600,133 
16,700,146 
17,800,261 
18,900,247 
19,1000,240 
20,100,194 
21,200,200 
22,300,140 
23,400,125 
24,500,146 
25,600,275 
26,700,184 
27,800,131 
28,900,100 
29,1000,97 
30,100,104 
31,200,138 
32,300,100 
33,400,292 
34,500,266 
35,600,244 
36,700,269 
37,800,203 
38,900,93 
39,1000,187 
40,100,125 
41,200,145 
42,300,77 
43,400,151 
44,500,131 
45,600,121 
46,700,119 
47,800,92 
48,900,132 
49,1000,115 
