sl.no,payload_length,Cumulative_RTT 
0,100,220 
1,200,230 
2,300,112 
3,400,122 
4,500,108 
5,600,100 
6,700,84 
7,800,78 
8,900,88 
9,1000,92 
10,100,89 
11,200,95 
12,300,79 
13,400,118 
14,500,88 
15,600,89 
16,700,92 
17,800,88 
18,900,149 
19,1000,82 
20,100,82 
21,200,82 
22,300,173 
23,400,130 
24,500,91 
25,600,159 
26,700,92 
27,800,125 
28,900,91 
29,1000,93 
30,100,88 
31,200,98 
32,300,70 
33,400,106 
34,500,95 
35,600,67 
36,700,131 
37,800,102 
38,900,118 
39,1000,714 
40,100,327 
41,200,888 
42,300,369 
43,400,91 
44,500,110 
45,600,73 
46,700,67 
47,800,65 
48,900,87 
49,1000,163 
