sl.no,payload_length,commulative_rtt 
0,100,26032 
1,200,154 
2,300,150 
3,400,89 
4,500,94 
5,600,66 
6,700,73 
7,800,69 
8,900,67 
9,1000,72 
10,100,66 
11,200,78 
12,300,105 
13,400,68 
14,500,64 
15,600,67 
16,700,68 
17,800,112 
18,900,65 
19,1000,60 
20,100,58 
21,200,87 
22,300,67 
23,400,98 
24,500,61 
25,600,121 
26,700,85 
27,800,91 
28,900,153 
29,1000,61 
30,100,92 
31,200,65 
32,300,64 
33,400,77 
34,500,71 
35,600,74 
36,700,63 
37,800,83 
38,900,58 
39,1000,133 
40,100,556 
41,200,96 
42,300,59 
43,400,166 
44,500,96 
45,600,137 
46,700,85 
47,800,108 
48,900,82 
49,1000,72 
