sl.no,payload_length,Cumulative_RTT 
0,100,1312 
1,200,1216 
2,300,1003 
3,400,891 
4,500,951 
5,600,786 
6,700,738 
7,800,745 
8,900,879 
9,1000,941 
10,100,2281 
11,200,625 
12,300,645 
13,400,1110 
14,500,981 
15,600,1012 
16,700,998 
17,800,799 
18,900,730 
19,1000,625 
20,100,553 
21,200,558 
22,300,484 
23,400,481 
24,500,461 
25,600,455 
26,700,503 
27,800,768 
28,900,501 
29,1000,626 
30,100,513 
31,200,573 
32,300,489 
33,400,507 
34,500,489 
35,600,571 
36,700,497 
37,800,516 
38,900,509 
39,1000,557 
40,100,1054 
41,200,2196 
42,300,1009 
43,400,690 
44,500,722 
45,600,1346 
46,700,2519 
47,800,1257 
48,900,815 
49,1000,1041 
