sl.no,payload_length,commulative_rtt 
0,100,279 
1,200,100 
2,300,58 
3,400,54 
4,500,54 
5,600,50 
6,700,85 
7,800,66 
8,900,58 
9,1000,63 
10,100,87 
11,200,59 
12,300,60 
13,400,97 
14,500,79 
15,600,154 
16,700,68 
17,800,63 
18,900,70 
19,1000,64 
20,100,56 
21,200,84 
22,300,71 
23,400,334 
24,500,68 
25,600,64 
26,700,63 
27,800,60 
28,900,63 
29,1000,66 
30,100,84 
31,200,73 
32,300,58 
33,400,78 
34,500,81 
35,600,59 
36,700,78 
37,800,72 
38,900,92 
39,1000,101 
40,100,60 
41,200,56 
42,300,62 
43,400,58 
44,500,110 
45,600,108 
46,700,108 
47,800,64 
48,900,60 
49,1000,67 
