sl.no,payload_length,commulative_rtt 
0,100,765 
1,200,701 
2,300,659 
3,400,829 
4,500,629 
5,600,514 
6,700,540 
7,800,582 
8,900,492 
9,1000,545 
10,100,530 
11,200,605 
12,300,716 
13,400,459 
14,500,517 
15,600,556 
16,700,893 
17,800,902 
18,900,581 
19,1000,601 
20,100,590 
21,200,720 
22,300,559 
23,400,588 
24,500,446 
25,600,498 
26,700,587 
27,800,656 
28,900,1077 
29,1000,1505 
30,100,1155 
31,200,804 
32,300,807 
33,400,553 
34,500,604 
35,600,506 
36,700,526 
37,800,540 
38,900,821 
39,1000,794 
40,100,746 
41,200,839 
42,300,535 
43,400,467 
44,500,578 
45,600,469 
46,700,451 
47,800,547 
48,900,517 
49,1000,514 
