sl.no,payload_length,commulative_rtt 
0,100,1304 
1,200,939 
2,300,724 
3,400,835 
4,500,935 
5,600,898 
6,700,1721 
7,800,562 
8,900,653 
9,1000,645 
10,100,660 
11,200,664 
12,300,620 
13,400,589 
14,500,484 
15,600,499 
16,700,632 
17,800,569 
18,900,544 
19,1000,728 
20,100,621 
21,200,488 
22,300,474 
23,400,452 
24,500,497 
25,600,499 
26,700,497 
27,800,441 
28,900,464 
29,1000,447 
30,100,505 
31,200,512 
32,300,553 
33,400,554 
34,500,507 
35,600,2302 
36,700,1636 
37,800,1761 
38,900,1849 
39,1000,984 
40,100,672 
41,200,512 
42,300,622 
43,400,874 
44,500,587 
45,600,541 
46,700,620 
47,800,545 
48,900,484 
49,1000,577 
